,title,artist,top genre,year,tempo,energy,dnce,dB,live,val,dur,acous,spch,Pop,,,
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,Pop,2013,136,45,28,-8,11,11,236,63,3,55,,,
194,What About Love,Austin Mahone,Pop,2013,100,78,63,-7,4,28,203,0,4,54,,,
195,Take Back the Night,Justin Timberlake,Pop,2013,107,66,59,-5,64,33,353,4,16,54,,,
196,Applause,Lady Gaga,Pop,2013,140,78,67,-4,11,73,212,3,5,52,,,
197,Anything Could Happen,Ellie Goulding,Pop,2013,103,78,70,-4,14,38,286,43,3,52,,,
198,Finally Found You,Enrique Iglesias,Pop,2013,128,88,62,-5,35,66,221,1,10,52,,,
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52,,,
200,#Beautiful,Mariah Carey,Pop,2013,107,76,68,-5,31,45,200,29,4,51,,,
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,Pop,2013,201,95,36,-3,37,51,211,9,48,50,,,
202,Crazy Kids (feat. will.i.am),Kesha,Pop,2013,128,75,72,-4,13,50,229,4,4,46,,,
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,Pop,2013,128,57,69,-5,11,73,257,2,5,45,,,
204,People Like Us,Kelly Clarkson,Pop,2013,128,79,60,-5,36,61,259,4,4,45,,,
205,Overdose,Ciara,Pop,2013,107,70,77,-6,6,79,227,1,3,43,,,
206,Right Now - Dyro Radio Edit,Rihanna,Pop,2013,130,74,53,-6,24,45,186,0,4,42,,,
207,Give It 2 U,Robin Thicke,Pop,2013,127,83,67,-4,16,58,230,10,7,41,,,
208,Foolish Games,Jewel,Pop,2013,132,34,51,-11,12,7,250,23,3,36,,,
209,Outta Nowhere (feat. Danny Mercer),Pitbull,Pop,2013,95,84,71,-4,21,66,207,16,3,35,,,
210,Freak,Kelly Rowland,atl Hip-hop,2013,104,78,65,-5,12,45,274,13,6,28,,,
211,All of Me,John Legend,Pop,2014,120,26,42,-7,13,33,270,92,3,86,,,
212,Stay With Me,Sam Smith,Pop,2014,84,42,42,-6,11,18,173,59,4,85,,,
213,Summer,Calvin Harris,Pop,2014,128,86,60,-4,14,74,223,2,3,80,,,
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,Pop,2014,160,82,65,-5,9,96,233,22,18,79,,,
215,Rude,MAGIC!,Pop,2014,144,76,77,-5,31,93,225,4,4,79,,,
216,Shake It Off,Taylor Swift,Pop,2014,160,80,65,-5,33,94,219,6,17,78,,,
217,Dark Horse,Katy Perry,Pop,2014,132,59,65,-6,17,35,216,0,5,78,,,
218,Hey Brother,Avicii,Pop,2014,125,78,55,-5,8,46,255,3,4,78,,,
219,Maps,Maroon 5,Pop,2014,120,71,74,-6,6,88,190,2,3,78,,,
220,Treasure,Bruno Mars,Pop,2014,116,69,87,-5,32,94,179,4,4,77,,,
221,Let Her Go,Passenger,Pop,2014,75,54,51,-7,10,24,253,39,6,77,,,
222,Problem,Ariana Grande,Pop,2014,103,81,66,-5,16,63,194,2,15,75,,,
223,Pompeii,Bastille,Pop,2014,127,72,68,-6,27,57,214,8,4,73,,,
224,Team,Lorde,Pop,2014,100,58,69,-7,31,42,193,17,9,73,,,
225,Love Me Again,John Newman,Pop,2014,126,89,50,-5,10,21,240,0,4,73,,,
226,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72,,,
227,Adore You,Miley Cyrus,Pop,2014,120,66,58,-5,11,20,279,11,3,72,,,
228,Love Never Felt So Good,Michael Jackson,Pop,2014,118,72,78,-6,7,71,246,13,4,71,,,
229,Burn,Ellie Goulding,Pop,2014,87,78,56,-5,11,33,231,31,4,71,,,
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71,,,
231,Fancy,Iggy Azalea,australian Hip-hop,2014,95,72,91,-4,5,38,200,9,7,70,,,
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,Pop,2014,100,65,76,-7,31,76,178,3,23,68,,,
233,Gorilla,Bruno Mars,Pop,2014,140,54,72,-7,10,64,244,45,4,68,,,
234,human,Christina Perri,Pop,2014,144,49,44,-6,11,25,251,13,4,68,,,
235,Young Girls,Bruno Mars,Pop,2014,126,75,56,-5,21,50,229,46,3,67,,,
236,Wiggle (feat. Snoop Dogg),Jason Derulo,Pop,2014,82,62,70,-7,16,72,193,8,25,67,,,
237,Love Runs Out,OneRepublic,Pop,2014,120,93,72,-4,8,74,225,17,6,66,,,
238,This Is How We Do,Katy Perry,Pop,2014,96,64,69,-6,15,80,204,2,5,66,,,
239,Mmm Yeah (feat. Pitbull),Austin Mahone,Pop,2014,126,92,71,-4,27,98,232,0,4,65,,,
240,A Little Party Never Killed Nobody (All We Got),Fergie,Pop,2014,130,62,76,-6,9,52,241,1,18,65,,,
241,#SELFIE,The Chainsmokers,Pop,2014,128,92,79,-3,8,66,184,1,25,65,,,
242,Partition,Beyoncé,Pop,2014,186,44,41,-12,31,17,319,3,29,65,,,
243,Birthday,Katy Perry,Pop,2014,126,67,72,-5,11,84,215,9,7,65,,,
244,G.U.Y.,Lady Gaga,Pop,2014,110,92,62,-3,12,57,233,1,4,65,,,
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64,,,
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,Pop,2014,140,66,50,-6,27,25,226,3,4,63,,,
247,Wings,Birdy,Pop,2014,83,71,47,-5,16,22,252,8,3,62,,,
248,Can't Remember to Forget You (feat. Rihanna),Shakira,Pop,2014,138,81,69,-4,14,82,207,12,7,62,,,
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,Pop,2014,192,77,35,-4,12,4,191,6,5,61,,,
250,Say Something,A Great Big World,Pop,2014,138,15,45,-9,9,9,229,87,3,61,,,
251,A Sky Full of Stars,Coldplay,Pop,2014,125,68,55,-6,21,16,268,1,3,60,,,
252,Come Get It Bae,Pharrell Williams,Pop,2014,120,80,93,-6,10,90,202,27,8,59,,,
253,Chandelier,Sia,Pop,2014,174,78,29,-3,7,62,216,2,7,56,,,
254,XO,Beyoncé,Pop,2014,170,79,47,-9,31,21,216,17,26,56,,,
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,Pop,2014,125,94,60,-4,10,55,222,0,7,56,,,
256,Not About Angels,Birdy,Pop,2014,116,14,41,-10,9,23,190,97,4,56,,,
257,Drunk in Love,Beyoncé,Pop,2014,140,62,59,-7,18,40,323,1,5,52,,,
258,Anaconda,Nicki Minaj,Pop,2014,130,60,96,-6,21,65,260,7,18,50,,,
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,Pop,2014,92,81,68,-4,34,64,169,7,6,50,,,
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,Pop,2014,128,82,80,-5,35,61,198,18,4,50,,,
261,Tee Shirt - Soundtrack Version,Birdy,Pop,2014,76,34,68,-9,9,56,160,84,3,49,,,
262,Words as Weapons,Birdy,Pop,2014,120,35,53,-9,14,19,239,28,3,44,,,
263,You're Mine (Eternal),Mariah Carey,Pop,2014,149,58,63,-7,38,56,224,28,7,38,,,
264,Sheezus,Lily Allen,Pop,2014,130,50,78,-7,11,39,235,15,4,37,,,
265,Cannonball,Lea Michele,Pop,2014,92,82,56,-3,19,57,215,2,5,37,,,
266,It's On Again - Main Soundtrack,Alicia Keys,hip Pop,2014,110,54,64,-9,25,53,230,10,11,30,,,
267,I Luh Ya Papi,Jennifer Lopez,Pop,2014,96,73,74,-6,12,59,207,45,42,28,,,
268,Not a Bad Thing,Justin Timberlake,Pop,2014,86,73,59,-6,38,46,266,27,6,0,,,
269,Thinking out Loud,Ed Sheeran,Pop,2015,79,45,78,-6,18,59,282,47,3,84,,,
270,I'm Not The Only One,Sam Smith,Pop,2015,82,49,68,-6,8,49,239,53,4,84,,,
271,The Hills,The Weeknd,Pop,2015,113,56,58,-7,14,14,242,7,5,84,,,
272,Love Yourself,Justin Bieber,Pop,2015,100,38,61,-10,28,52,234,84,44,83,,,
273,Uptown Funk,Mark Ronson,Pop,2015,115,61,86,-7,3,93,270,1,8,82,,,
